img_name,setting
abstract_karel-appel_488.jpg,abstract
abstract_jose-guerrero_5465.jpg,abstract
abstract_jimmy-ernst_4123.jpg,abstract
abstract_ronnie-landfield_7256.jpg,abstract
abstract_jo-baer_886.jpg,abstract
abstract_eugene-leroy_7611.jpg,abstract
abstract_john-cage_2306.jpg,abstract
abstract_wolfgang-laib_7229.jpg,abstract
abstract_morris-louis_7896.jpg,abstract
abstract_harriet-korman_7060.jpg,abstract
abstract_aki-kuroda_7214.jpg,abstract
abstract_jean-michel-atlan_775.jpg,abstract
abstract_nassos-daphnis_3056.jpg,abstract
abstract_ellsworth-kelly_6799.jpg,abstract
abstract_lee-bontecou_1928.jpg,abstract
abstract_rodolfo-arico_554.jpg,abstract
abstract_giacomo-balla_930.jpg,abstract
abstract_maki-haku_5568.jpg,abstract
abstract_genevieve-asse_747.jpg,abstract
abstract_rune-jansson_6348.jpg,abstract
abstract_moshe-kupferman_7152.jpg,abstract
abstract_mel-bochner_1800.jpg,abstract
abstract_david-kakabadze_6579.jpg,abstract
abstract_jean-le-moal_7452.jpg,abstract
abstract_carla-accardi_162.jpg,abstract
abstract_franz-kline_6974.jpg,abstract
abstract_josef-albers_318.jpg,abstract
abstract_otto-gustav-carlsund_2466.jpg,abstract
abstract_valerie-jaudon_6393.jpg,abstract
abstract_richard-paul-lohse_7860.jpg,abstract
abstract_alberto-magnelli_8073.jpg,abstract
abstract_vasile-dobrian_3657.jpg,abstract
abstract_josef-albers_301.jpg,abstract
abstract_eugene-leroy_7614.jpg,abstract
abstract_perle-fine_4470.jpg,abstract
abstract_john-ferren_4436.jpg,abstract
abstract_bernard-aubertin_812.jpg,abstract
abstract_jacoba-van-heemskerck_5748.jpg,abstract
abstract_robert-goodnough_5204.jpg,abstract
abstract_vladimir-loboda_7804.jpg,abstract
abstract_albert-bitran_1693.jpg,abstract
abstract_theo-van-doesburg_3715.jpg,abstract
abstract_carl-buchheister_2137.jpg,abstract
abstract_gunther-forg_4625.jpg,abstract
abstract_fernand-leger_7569.jpg,abstract
abstract_lajos-kassak_6669.jpg,abstract
abstract_atsuko-tanaka_799.jpg,abstract
abstract_rene-duvillier_3942.jpg,abstract
abstract_max-bill_1579.jpg,abstract
abstract_rodrigo-franzao_4778.jpg,abstract
abstract_jimmy-ernst_4119.jpg,abstract
abstract_lorser-feitelson_4352.jpg,abstract
abstract_joe-goode_5165.jpg,abstract
abstract_helen-frankenthaler_4764.jpg,abstract
abstract_jose-guerrero_5466.jpg,abstract
abstract_frank-bowling_2003.jpg,abstract
abstract_marcelle-cahn_2312.jpg,abstract
abstract_carsten-nicolai_452.jpg,abstract
abstract_andre-pierre-arnal_601.jpg,abstract
abstract_adalbert-erdeli_4086.jpg,abstract
abstract_thomas-downing_3881.jpg,abstract
abstract_joyce-kozloff_7085.jpg,abstract
abstract_xu-hongming_6035.jpg,abstract
abstract_victor-hugo_6140.jpg,abstract
abstract_gunther-gerzso_5020.jpg,abstract
abstract_lothar-charoux_2617.jpg,abstract
abstract_kuno-gonschior_5157.jpg,abstract
abstract_eugene-brands_2080.jpg,abstract
abstract_maki-haku_5595.jpg,abstract
abstract_martha-boto_1957.jpg,abstract
abstract_jean-arp_702.jpg,abstract
abstract_pedro-calapez_2363.jpg,abstract
abstract_christo-coetzee_2763.jpg,abstract
abstract_arshile-gorky_5265.jpg,abstract
abstract_peter-joseph_6538.jpg,abstract
abstract_raul-lozza_7960.jpg,abstract
abstract_yui-yaegashi_34.jpg,abstract
abstract_kazuo-shiraga_6744.jpg,abstract
abstract_ronnie-landfield_7279.jpg,abstract
abstract_andre-lanskoy_7362.jpg,abstract
abstract_mostafa-dashti_3089.jpg,abstract
abstract_jean-degottex_3446.jpg,abstract
abstract_francois-arnal_678.jpg,abstract
abstract_rene-duvillier_3953.jpg,abstract
abstract_gego_4937.jpg,abstract
abstract_gotthard-graubner_5346.jpg,abstract
abstract_paul-feeley_4302.jpg,abstract
abstract_adolf-fleischmann_4545.jpg,abstract
abstract_perle-fine_4480.jpg,abstract
abstract_bruno-cassinari_2510.jpg,abstract
abstract_sam-francis_4660.jpg,abstract
abstract_albert-bitran_1691.jpg,abstract
abstract_hans-hofmann_5965.jpg,abstract
abstract_genevieve-asse_757.jpg,abstract
abstract_jack-bush_2266.jpg,abstract
abstract_giacomo-balla_959.jpg,abstract
abstract_fritz-glarner_5113.jpg,abstract
abstract_sam-gilliam_5052.jpg,abstract
abstract_manabu-mabe_8013.jpg,abstract
abstract_william-baziotes_1327.jpg,abstract
abstract_willem-de-kooning_3319.jpg,abstract
abstract_yves-klein_6936.jpg,abstract
abstract_walter-battiss_1205.jpg,abstract
abstract_tihamer-gyarmathy_5526.jpg,abstract
abstract_bart-van-der-leck_7501.jpg,abstract
abstract_wade-guyton_5498.jpg,abstract
abstract_patrick-heron_5849.jpg,abstract
abstract_christo-coetzee_2762.jpg,abstract
abstract_willem-de-kooning_3300.jpg,abstract
abstract_kazuo-shiraga_6757.jpg,abstract
abstract_gherasim-luca_7971.jpg,abstract
abstract_gunther-forg_4611.jpg,abstract
abstract_thomas-downing_3870.jpg,abstract
abstract_gottfried-honegger_6006.jpg,abstract
abstract_gotthard-graubner_5340.jpg,abstract
abstract_andre-lanskoy_7331.jpg,abstract
abstract_jean-michel-basquiat_1193.jpg,abstract
abstract_charles-lapicque_7397.jpg,abstract
abstract_pat-lipsky_7775.jpg,abstract
abstract_max-bill_1569.jpg,abstract
abstract_jack-bush_2234.jpg,abstract
abstract_vasile-dobrian_3664.jpg,abstract
abstract_otto-freundlich_4803.jpg,abstract
abstract_natalia-goncharova_5144.jpg,abstract
abstract_wojciech-fangor_4257.jpg,abstract
abstract_andre-lanskoy_7330.jpg,abstract
abstract_lothar-charoux_2614.jpg,abstract
abstract_angelo-de-sousa_3327.jpg,abstract
abstract_constantin-flondor_4562.jpg,abstract
abstract_pat-lipsky_7760.jpg,abstract
abstract_ha-chong-hyun_83.jpg,abstract
abstract_lothar-charoux_2610.jpg,abstract
abstract_dan-christensen_2742.jpg,abstract
abstract_lilia-carrillo_2504.jpg,abstract
abstract_josef-albers_336.jpg,abstract
abstract_helmut-federle_4287.jpg,abstract
abstract_abdul-qader-al-raes_267.jpg,abstract
abstract_wassily-kandinsky_6614.jpg,abstract
abstract_andrzej-nowacki_64.jpg,abstract
abstract_bernard-cohen_2782.jpg,abstract
abstract_pierre-alechinsky_417.jpg,abstract
abstract_constantin-flondor_4558.jpg,abstract
abstract_tano-festa_4460.jpg,abstract
abstract_jean-degottex_3459.jpg,abstract
abstract_modest-cuixart_2986.jpg,abstract
abstract_nicholas-krushenick_7125.jpg,abstract
abstract_ralph-hotere_6052.jpg,abstract
abstract_edward-corbett_2875.jpg,abstract
abstract_al-held_5770.jpg,abstract
abstract_gherasim-luca_7972.jpg,abstract
abstract_morris-louis_7917.jpg,abstract
abstract_hakuin-ekaku_4066.jpg,abstract
abstract_bracha-l-ettinger_4220.jpg,abstract
abstract_tihamer-gyarmathy_5529.jpg,abstract
abstract_julius-bissier_1650.jpg,abstract
abstract_sam-gilliam_5084.jpg,abstract
abstract_cesar-domela_3770.jpg,abstract
abstract_jean-degottex_3461.jpg,abstract
abstract_umberto-boccioni_1794.jpg,abstract
abstract_aki-kuroda_7210.jpg,abstract
abstract_robert-goodnough_5215.jpg,abstract
abstract_horia-damian_3050.jpg,abstract
abstract_yayoi-kusama_7221.jpg,abstract
abstract_francis-bott_1993.jpg,abstract
abstract_constantin-flondor_4554.jpg,abstract
abstract_paul-feeley_4299.jpg,abstract
abstract_chicote-cfc_2653.jpg,abstract
abstract_vladimir-bonacic_1877.jpg,abstract
abstract_roger-bissi-re_1662.jpg,abstract
abstract_landon-mackenzie_8043.jpg,abstract
abstract_anni-albers_293.jpg,abstract
abstract_nassos-daphnis_3064.jpg,abstract
abstract_antonio-corpora_2903.jpg,abstract
abstract_maurice-esteve_4166.jpg,abstract
abstract_norman-bluhm_1742.jpg,abstract
abstract_ellsworth-kelly_6780.jpg,abstract
abstract_willem-de-kooning_3320.jpg,abstract
abstract_asger-jorn_6512.jpg,abstract
abstract_john-cage_2303.jpg,abstract
abstract_sonia-delaunay_3541.jpg,abstract
abstract_mathias-goeritz_5129.jpg,abstract
abstract_jean-arp_689.jpg,abstract
abstract_william-congdon_2855.jpg,abstract
abstract_david-burliuk_2195.jpg,abstract
abstract_erich-buchholz_2168.jpg,abstract
abstract_denise-green_5365.jpg,abstract
abstract_max-bill_1598.jpg,abstract
abstract_kazuo-shiraga_6760.jpg,abstract
abstract_eugene-brands_2051.jpg,abstract
abstract_rune-jansson_6346.jpg,abstract
abstract_edward-avedisian_823.jpg,abstract
abstract_carl-buchheister_2150.jpg,abstract
abstract_friedel-dzubas_4036.jpg,abstract
abstract_sam-francis_4693.jpg,abstract
abstract_terry-frost_4813.jpg,abstract
abstract_dan-christensen_2731.jpg,abstract
abstract_mario-ballocco_970.jpg,abstract
abstract_tomas-maldonado_8084.jpg,abstract
abstract_gary-wragg_109.jpg,abstract
abstract_fernand-leduc_7506.jpg,abstract
abstract_luciano-bartolini_1138.jpg,abstract
abstract_ellsworth-kelly_6793.jpg,abstract
abstract_martin-disler_3633.jpg,abstract
abstract_gunther-gerzso_5021.jpg,abstract
abstract_maurice-esteve_4197.jpg,abstract
abstract_arshile-gorky_5261.jpg,abstract
abstract_luis-feito_4387.jpg,abstract
abstract_yui-yaegashi_39.jpg,abstract
abstract_larry-bell_1389.jpg,abstract
abstract_rodolfo-arico_543.jpg,abstract
abstract_natalia-dumitresco_3930.jpg,abstract
abstract_anne-appleby_500.jpg,abstract
abstract_rodrigo-franzao_4782.jpg,abstract
abstract_wyndham-lewis_7660.jpg,abstract
